X,user_id,datetime,inv_num,store_name,store_address,item_name,unit_price,quantity,amount,donation_status,item_tag,item_brand_name,store_brand_name,county,city_area,segment
104878302,3b5af5c0f55c1491f0dec1c66d16dd9434070a99d1ee633c45dca879358eb919,2021-08-09 10:27:00,ab133d1fdf225164d522eab6201ec0946ada497ea615b96968ba2faf7ceedb46,和德昌股份有限公司大里中興分公司,台中市大里區中興路1段175號1樓,可樂-中,33,1,33,FALSE,碳酸飲料,nan,麥當勞_Mcdonalds,臺中市,大里區,Potential Loyalist
54135971,7bdac91ec4c3079d80069c6ea945a9f72be411be641b3578c86148b9cfb8e7af,2021-04-21 18:39:39,68897221f39ad96ebf123606e3f05b9c8aefdc718b26fea007ee9509cb43c9ad,臣睿企業有限公司,台中市沙鹿區北英路107號,AP 尖型鑷子,40,1,40,FALSE,鑷子,nan,nan,臺中市,沙鹿區,Loyal Accounts
78088649,a073d91783c45bcc12b1b16761e01c398a063f6686a252bd35e5634e403e347a,2021-02-10 10:26:10,ca7c1d1e23c5d27664608933dddd9493dff9eba62bd25b9c03d95188060178b4,好市多股份有限公司嘉義分公司,地址:嘉義市東區忠孝路668號,#125733 回饋金,-35,1,-35,FALSE,優惠活動/折扣/集點,nan,好市多_Costco,嘉義市,西區,Low Spenders
100574633,06606d9f2c5179c32e6d508de280f85108d80356dd1795f415bce7c5277e1de5,2021-12-26 14:40:00,bd27b01b14a352ad5df6f8a4694751d3eafd3fc9ae7de7d6e118487df42c3ead,太平洋崇光百貨股份有限公司敦化分公司,臺北市大安區敦化南路1段246號地下1樓、地下2樓、地下4樓、1樓至5樓,PRADA,2000,1,2000,FALSE,店家名稱,nan,遠東Sogo_Fareasternsogo,臺北市,信義區,Promising
14666401,9c297f3c1d7e441299d6377543a557578d4a3c08b79b31d1fc1a43090a7e2b5c,2020-03-18 13:43:57,1292528a3eb379b907ef0c988dd5c6a67c03bc26b0e555896805d9a1b0e415ab,全家便利商店股份有限公司桃園市第四二五分公司,桃園市龜山區文化三路３９９號１樓＆夾層,會員促,0,1,-30,FALSE,優惠活動/折扣/集點,nan,全家便利商店_Familymart,桃園市,桃園區,Lost
99531477,bc9af9145f76af5d3d6a42f53c0d8cacddd1471e43311efc27600ef1f90562f5,2021-07-23 19:27:46,7466aab714a483a58a1f9ef010b30d3bda0e1d43eeb9835e208bcb95830fb605,全聯實業股份有限公司竹南龍山分公司,苗栗縣竹南鎮龍山路1段;260、262號,WMF印花１張,10,1,10,FALSE,優惠活動/折扣/集點,nan,全聯福利中心_Pxmart,臺北市,信義區,Low Spenders
69374650,8f045ee80f8ab961a5dfe02d6165c2a23e7771a00a5c9abcd44f0434ebbd1c19,2021-10-07 20:44:19,3b6f593836c8379dc7ad85e65ea4e26d1007f9e7c8ef434fc457b2e56f6a1ded,寶島光學科技股份有限公司寶島眼鏡衡陽路分公司,臺北市中正區建國里衡陽路９８號１樓,折抵點數,-139,1,-139,FALSE,優惠活動/折扣/集點,nan,nan,臺北市,信義區,Low Spenders
21493440,950ea6184ea3b1abcb264b49f77cdd093f678347a140c9ec78b626b67cc19252,2020-05-09 17:38:37,4a7931d91628d745b2e37629596faf51d6c5545c40ab4d6badaddc947ff39687,欣芳閣茶飲,40876台中市南屯區向心南路937號,伯爵紅茶拿鐵 L,60,1,60,FALSE,奶茶,nan,迷客夏_Milkshop,南投縣,埔里鎮,At Risk
52633479,2cdc432d7ef4e53cae69865ed7fdc58a7baa4ec5fff872b7eecc8d6163e885ff,2021-10-26 12:25:18,52dee267636b72b5d6996379d23634db5a76d2ecfc777c0984cac5cec50f1f82,全家便利商店股份有限公司新莊自強分公司,新北市新莊區自強街２號,純喫茶檸檬紅茶６５０,25,1,25,FALSE,紅茶,nan,全家便利商店_Familymart,新北市,板橋區,New Active Accounts
28672701,f8dfb84687b142e1a85eb1505cb1246d7baaf4f26e8d8bf2fe38fcfadc852f11,2020-01-01 00:14:17,003054e26802dcdbf94a08139375a2947a53b7e410b0857b67ac6c6a765fc5c5,統一超商股份有限公司台中市第一九七分公司,台中市北屯區同榮路161號1樓,關東煮春雨,15,1,15,FALSE,生麵條,nan,統一超商_7Eleven,臺中市,北屯區,Lost
65192661,89731be4b6a3d5b405e63feb602fd29aea4c1897e98b61364acd7889e1727f6a,2021-07-09 17:15:17,72d255520969c7792a3bd1ead81208f970eadb66aed1151002a7c462c633764c,國王紅綠茶專賣店,高雄市左營區大順一路276號,大 1號,40,1,40,FALSE,無法分類,nan,50嵐_50Lan,高雄市,前鎮區,Loyal Accounts
10454075,b31b6e33feff82798b22935cd2763c1ff37903299b75f4713d4d641b7254be4b,2020-10-07 08:11:00,9c5fee2687ca231ad2878a06d84ec6d1472fe658750bec4bc4f932f6bf531f4b,和德昌股份有限公司台北南昌分公司,台北市中正區南昌路1段149號1樓,餐-無敵豬蛋,55,1,55,FALSE,麵包/漢堡/蛋糕,nan,麥當勞_Mcdonalds,彰化縣,員林市,At Risk
60948281,454f7041379604920f4a4f0851230729fb4a7b48683e540e3702c02927b5a383,2021-08-08 12:06:38,2e86a4c71b9022503d2de3b8b51269f4d79b97311788a8fd62eaa3663116f66d,新加坡商蝦皮娛樂電商有限公司台灣分公司,臺北市信義區忠孝東路四段５５５號十七樓,萊爾富即享券科學麵【活動品】,1,1,1,FALSE,點心麵,nan,樂購蝦皮_Shopee,臺北市,信義區,Low Spenders
17414720,3121dc2edbed25ad786ddda05b483e387ee76c41da36745bb7f437aff9ff958a,2020-08-10 08:08:07,1655a1851311a80882a61b05e022abe3317f8eafa4ecca7848f214bc828cb427,統一超商股份有限公司彰化縣第五十八分公司,彰化縣大村鄉中山路一段86號,(新)七星天藍硬盒,125,1,125,FALSE,香菸,nan,統一超商_7Eleven,彰化縣,員林市,Need Attention
64662974,40da82d057ea90a161369a516be7d18619219be2557abcd351f241067d729eb4,2021-01-15 09:16:53,7c72d60259172a175310d106ce5a270529d952259fb72d8f1812766ad42108c5,全家便利商店股份有限公司台北市第五四三分公司,台北市內湖區石潭路６７號１樓,二配鮪魚沙拉夾心土司,35,1,35,FALSE,麵包/漢堡/蛋糕,nan,全家便利商店_Familymart,臺中市,大里區,Potential Loyalist
14521021,107db8f6222f8c3a1b7b6e3827ac31e806db3e7f251e2230d13c4c6721539531,2020-07-22 19:40:00,1ab8e155cde0b1dd76a4d6066631877b31a9dd582e1be9358eb2622973d051fb,和德昌股份有限公司台北大業分公司,台北市北投區北投路2段15號,薯條-大,55,1,55,FALSE,薯餅/薯條/可樂餅,nan,麥當勞_Mcdonalds,臺北市,中山區,About to Sleep
75958949,d2c68f8c0aa5f65a83825158f514aa7e77427f526516240e01427fa461627f7c,2021-03-25 20:53:37,511e9eb42e73dee0155c72bb5ee944ae54975a296281d7b2ee43b5b305c408f2,富利餐飲股份有限公司中壢民族分公司,桃園市中壢市五權里民族路２段１３８號１、２樓,脆薯(中),0,1,0,FALSE,薯餅/薯條/可樂餅,nan,肯德基_Kfc,桃園市,中壢區,Low Spenders
16844968,0996f8d0d3150beb8620beb028cc8a5ef63676229b13526e5ba709ee14fd4898,2020-05-15 16:17:02,e0f8c46c7ee2fda708b21ecaa027792bed21eff5b2ebc815913438c9567fe536,統一超商股份有限公司新竹縣第二分公司,新竹縣新豐鄉新興路403號1樓,(A)紅燒牛肉燴飯,70,1,70,FALSE,燴飯,nan,統一超商_7Eleven,新竹縣,新豐鄉,At Risk
52752463,145e01d73f440b3b5e660c766e5a946586f9c3299e78dceaa97af05cd05d0df9,2021-04-17 07:53:00,d6fa67c53114c3cbba669d0efeb65f1f10103375f791c7faa793745aa935ea6d,和德昌股份有限公司仁武鳳仁分公司,高雄市仁武區鳳仁路95之25號,蘋果汁,45,1,45,FALSE,蔬果汁/茶,nan,麥當勞_Mcdonalds,臺北市,信義區,About to Sleep
52771930,1defc9514a9b2975c5e5177e36162a5a319b5db0f433c850d4892a5d2d1d84b4,2021-09-18 15:59:45,11a4ddac4731cf32942486f753b960d62bfb347f76ea3b2b5a72a459b02e0932,全家便利商店股份有限公司花蓮榮正分公司,花蓮縣花蓮市中正路２０７號．２０９號,七星雙味晶球５毫克,125,1,125,FALSE,香菸,nan,全家便利商店_Familymart,臺北市,信義區,Promising
10412901,a172c5c15efdcde92eb35a840982c462737afd57f0dec050a6c6a3f382ea13be,2020-06-03 10:07:44,12505fc0595c087c635578d8e685070996a614c58e67c53d4938bfa87990d5de,紳太國際資訊股份有限公司,nan,木製家家酒攪拌機 - 優雅白 - 10707,1180,1,1180,FALSE,調理機,nan,nan,nan,nan,At Risk
18198923,56bb96bc4ac5838636215514dd9c5ea7edebd3f2085fe15d46016552851cc522,2020-08-03 21:06:57,e2df23c14f73308749379de0a1e47dc73106526fba679d625291a52881203772,好市多股份有限公司桃園分公司,地址:桃園市蘆竹區南崁路一段369號,121630立即回饋金,-100,1,-100,FALSE,優惠活動/折扣/集點,nan,好市多_Costco,臺北市,南港區,About to Sleep
102017352,97dd78c2364d585fd4c6124793b8193fc8c49eb70b378a670751d1eab4dd2671,2021-05-27 15:57:00,c4cdad0d209638170834778431bf7966c1c4ad50d24801c8ffcb579081780e7e,香港商雅虎資訊股份有限公司台灣分公司,nan,Adidas-拖鞋-ADILETTE LITE W-女鞋-FX5927-UK7-25.5CM,880,1,880,FALSE,涼/拖鞋,nan,雅虎_Yahoo,臺中市,后里區,Loyal Accounts
